name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,5yrs
Ben Poquette,52,12,4.5,1.8,4.3,,,0.8,1.2,1,1.8,0.4,0.2,0.4,0.8,1
Phil Walker,40,9.6,4.5,1.4,4,,,1.6,2.4,0.5,0.8,1.4,0.4,0.1,1.6,0
Bo Ellis,78,15.6,4.3,1.7,4.1,,,0.9,1.3,1.5,2.4,0.9,0.6,0.6,1.3,0
Tate Armstrong,66,10.8,4.3,2,4.2,,,0.3,0.4,0.4,0.7,1.1,0.3,0,0.9,0
Steve Sheppard,64,10.9,4.3,1.9,4.1,,,0.6,0.9,1,1,0.7,0.2,0,0.7,0
Bayard Forrest,64,13.9,4.2,1.7,3.7,,,0.8,1.6,1.3,2.6,2,0.4,0.5,1.3,0
Greg Griffin,36,11.7,4,1.7,4.7,,,0.6,1,1.2,1.6,0.7,0.4,0,1.1,0
Joey Hassett,48,8.4,4,1.9,4.3,,,0.2,0.3,0.3,0.5,0.9,0.4,0,0.7,1
Tom LaGarde,77,11.3,4,1.2,3.1,,,1.5,1.9,1,1.8,0.6,0.2,0.2,1.3,1
T.R. Dunn,63,12.2,3.8,1.6,3.8,,,0.6,0.9,1,1.3,0.7,0.7,0.1,0.6,1
Robert Smith,45,8.4,2.7,1.1,2.2,,,0.5,0.5,0.1,0.7,0.9,0.4,0.1,0.4,1
Billy Knight,78,40,26.6,10.7,21.6,,,5.3,6.5,2.9,4.6,3.3,1.5,0.2,,1
David Thompson,82,36.6,25.9,10,19.8,,,5.8,7.6,1.7,2.4,4.1,1.4,0.6,,1
George Gervin,82,33,23.1,8.9,16.3,,,5.4,6.5,1.6,3.9,2.9,1.3,1.3,,1
Dan Issel,79,31.7,22.3,8.4,16.2,,,5.6,7.1,2.7,6.1,2.2,1.2,0.4,,1
Ron Boone,82,36.8,22.2,9.1,19.2,,,4,4.7,1.6,2.4,4.1,1.5,0.2,,0
Larry Kenon,78,37.6,21.9,9.1,18.4,,,3.8,4.6,3.6,7.7,2.9,2.1,0.8,,1
Julius Erving,82,35.9,21.6,8.4,16.7,,,4.9,6.3,2.3,6.1,3.7,1.9,1.4,,1
Adrian Dantley,77,36.6,20.3,7.1,13.6,,,6.2,7.6,3.3,4.4,1.9,1.2,0.2,,1
Maurice Lucas,79,36.2,20.2,8,17.2,,,4.2,5.5,3.4,7.9,2.9,1.1,0.7,,1
Artis Gilmore,82,35.1,18.6,7,13.3,,,4.7,7.1,3.8,9.2,2.4,0.5,2.5,,1
Brian Taylor,72,34.6,17,7,13.8,,,3.1,3.8,1.2,2.1,4.4,2.8,0.2,,1
Billy Paultz,82,32.9,15.6,6.4,13.4,,,2.9,3.9,2.3,6,2.7,0.7,2.1,,1
Bobby Jones,82,29.5,15.1,6.1,10.7,,,2.9,4,2.1,6.1,3.2,2.3,2,,1
Scott May,72,32.9,14.6,6,13.3,,,2.6,3.2,2,4.1,2,1.1,0.2,,1
Dan Roundfield,61,27,13.9,5.6,12,,,2.7,3.9,2.9,5.6,1.1,1,2.1,,1
